videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay
rDxrpSqYHD8,@Dimas-ks4mw,2023-11-03 01:52:34+00:00,2023-11-03 01:52:50+00:00,1,0,kunimitsu please
rDxrpSqYHD8,@XHybridPirateX,2023-11-03 02:13:50+00:00,2023-11-03 02:13:50+00:00,0,0,"No Bob, no Buy! It&#39;s up to you Bandai Namco!"
rDxrpSqYHD8,@user-vd7tq5ge3h,2023-11-03 02:14:16+00:00,2023-11-03 02:14:16+00:00,2,0,I want Josie to be with them when it&#39;s released
rDxrpSqYHD8,@drjunpab4855,2023-11-03 02:15:51+00:00,2023-11-03 02:15:51+00:00,0,0,Come on Lucky Chloe!!
rDxrpSqYHD8,@chimakalu41,2023-11-03 02:19:38+00:00,2023-11-03 02:20:06+00:00,0,0,"<a href=""https://www.youtube.com/watch?v=rDxrpSqYHD8&amp;t=27"">0:27</a> yoshimitsu my main. Ok then👍🏾"
rDxrpSqYHD8,@SciModeler,2023-11-03 02:28:30+00:00,2023-11-03 02:30:21+00:00,1,0,"Now, we need Lei and Anna!!"
rDxrpSqYHD8,@thalisonreis500,2023-11-03 02:40:09+00:00,2023-11-03 02:40:09+00:00,0,0,Victor Chavalier &gt;
rDxrpSqYHD8,@cediegepiga5973,2023-11-03 02:44:19+00:00,2023-11-03 02:44:19+00:00,0,0,sad no filipino character :(
rDxrpSqYHD8,@brandonhill7594,2023-11-03 02:52:07+00:00,2023-11-03 02:52:07+00:00,0,0,I miss Eddy. 😑😞
rDxrpSqYHD8,@resewatson402,2023-11-03 03:00:05+00:00,2023-11-03 03:00:05+00:00,0,0,Y do they still disrespect lei like he not a legend wtf yo i dont understand why lei is not in the game is it bec of copyright or something lei is my favorite character on the game I&#39;m not rocking wit dis new tekken unless lei aka Jackie chan I&#39;n the game
rDxrpSqYHD8,@saje1988,2023-11-03 03:19:25+00:00,2023-11-03 03:19:25+00:00,0,0,It&#39;s looking like my wish for Bruce Irvin to return is between slim and none. 😢
rDxrpSqYHD8,@otaking3582,2023-11-03 03:20:54+00:00,2023-11-03 03:20:54+00:00,2,1,I thought Jin had just incorporated Devil Jin into his moveset. How the hell is he still a separate character?
rDxrpSqYHD8,@chainsta4e1,2023-11-03 03:33:15+00:00,2023-11-03 03:33:15+00:00,0,0,"That laugh, that &#39;Marvelous&#39;! It&#39;s Jarjit Singh!?"
rDxrpSqYHD8,@mrfavila520,2023-11-03 04:04:40+00:00,2023-11-03 04:04:40+00:00,0,0,Can&#39;t have Lee without Lei!!  Come on Lei Wu Long!!!
rDxrpSqYHD8,@supermodel8528,2023-11-03 04:10:24+00:00,2023-11-03 04:10:24+00:00,0,0,WHRRE MIGUEL AT BRUH
rDxrpSqYHD8,@Flexision,2023-11-03 04:10:57+00:00,2023-11-03 04:10:57+00:00,0,0,⛩️[Tekken Just Goes Hard For No Reason]🔗🔥
rDxrpSqYHD8,@adolfozobeldeayalaherrera,2023-11-03 04:15:07+00:00,2023-11-03 04:15:07+00:00,0,0,Devil Jin saves Jin.. Wtf 😍😍😍
rDxrpSqYHD8,@Cng215,2023-11-03 05:00:14+00:00,2023-11-03 05:00:14+00:00,1,0,Why do they always do this to Julia fans smh
rDxrpSqYHD8,@jaredm5303,2023-11-03 05:09:31+00:00,2023-11-03 05:09:31+00:00,0,0,No lucky chloe or dancer : (?????????
rDxrpSqYHD8,@jeffreyw4824,2023-11-03 05:11:37+00:00,2023-11-03 05:11:37+00:00,0,0,My zafina and Alisa is come back!!!
